DateTime,Entries,UniqueIPs
1433901607,1044,273664
1433988007,1029,270336
1434074405,1021,268288
1434160804,1017,267520
1434247205,1027,269312
1434247205,1027,269312
1434247205,1027,269312
1434247205,1027,269312
1434247205,1027,269312
1434247205,1027,269312
1434247205,1027,269312
1434333606,999,262912
1434420006,983,259584
1434506406,975,258304
1434592805,957,252416
1434592805,957,252416
1434679205,960,252928
1434679205,960,252928
1434765605,963,252672
1434852006,954,249600
1434938407,919,239872
1435024806,911,237312
1435111206,886,230912
1435197604,881,230144
1435284006,836,219392
1435370405,828,217344
1435456805,818,213760
1435543205,829,216064
1435629604,800,207872
1435716006,802,208896
1435802405,830,218624
1435888806,867,229376
1435975207,903,240128
1436061605,933,247808
1436148007,930,247296
1436234405,905,241664
1436320805,891,238336
1436407207,888,237056
1436493607,893,236544
1436580006,865,228096
1436666406,862,226816
1436752807,854,224256
1436839205,869,228864
1436925605,883,231168
1437012007,864,228352
1437098406,854,225280
1437184806,872,231424
1437271206,902,238848
1437357606,911,241152
1437444007,917,242688
1437530405,932,246528
1437616806,938,247040
1437703206,934,245504
1437789607,927,243968
1437876007,889,233984
1437876007,889,233984
1437876007,889,233984
1437962405,871,229376
1438048807,1012,276736
1438135206,1233,335872
1438221607,1441,403200
1438308008,1573,456192
1438394406,1695,500224
1438480809,1800,532224
1438567206,1864,568832
1438653607,1992,603904
1438740006,1847,562944
1438912809,1598,485632
1438999206,1530,466176
1439085605,1491,468224
1439172007,1452,464128
1439172007,1452,464128
1439172007,1452,464128
1439172007,1452,464128
1439172007,1452,464128
1439258407,1399,450560
1439344805,1408,450048
1439431206,1422,444160
1439517607,1552,470784
1439604006,1574,476160
1439604006,1574,476160
1439690407,1592,484096
1439776807,1605,486912
1439863206,1636,494592
1439949605,1643,497152
1440036006,1704,516864
1440122406,1765,537856
1440122406,1765,537856
1440208806,1820,558080
1440295207,1835,561152
1440381606,1824,556800
1440468005,1733,528384
1440554406,1700,511744
1440640806,1688,486144
1440640806,1688,486144
1440727206,1405,373504
1440813606,1282,340480
1440900005,1280,335360
1440986407,1214,317184
1441072807,1257,327680
1441159206,1260,331520
1441245605,1235,325888
1441332006,1413,379648
1441418404,1554,446208
1441504810,1614,484352
1441591204,1601,488960
1441677604,1585,490496
1441764006,1571,490496
1441850404,1591,496128
1441936805,1566,487936
1442023205,1554,482304
1442109605,1528,467456
1442196007,1566,474112
1442282406,1621,479232
