DateTime,AddedIPs,RemovedIPs
1434947401,12,14
1435033801,14,10
1435120201,11,16
1435206601,10,21
1435293002,22,6
1435552201,12,21
1435638601,8,8
1435725001,10,18
1435811401,13,11
1435897801,12,15
1436157001,16,12
1436243401,8,8
1436329801,6,12
1436416201,11,5
1436502601,13,7
1436761802,10,20
1436848202,11,9
1436934601,10,9
1437021001,10,10
1437107401,10,14
1437366601,13,12
1437453001,6,10
1437539401,4,145
1437625801,136,10
1437712201,27,74
1437971401,73,5
1438057801,12,6
1438144202,7,39
1438230601,36,6
1438317001,9,8
1438489801,11,9
1438576201,10,12
1438662601,7,10
1438749001,6,8
1438921801,11,11
1439181001,16,17
1439267401,11,7
1439353801,9,16
1439440202,17,12
1439526601,13,10
1439785801,14,27
1439872201,5,9
1439958601,3,325
1440045001,324,3
1440131401,13,6
1440390601,13,15
1440477001,10,100
1440563401,101,7
1440711630,12,9
1440995401,8,18
1441081801,15,6
1441168201,9,9
1441254601,6,36
1441341002,34,10
1441686602,11,12
1441773001,11,10
1441859401,14,13
1441945802,10,58
1442032201,34,19
1442205001,45,11
