DateTime,AddedIPs,RemovedIPs
1434947408,824,804
1435033809,617,587
1435120208,638,518
1435206609,612,592
1435293008,537,667
1435552207,815,755
1435638609,606,586
1435725009,669,749
1435811408,708,598
1435897808,589,689
1436157009,777,797
1436243409,604,494
1436329808,521,751
1436416209,674,504
1436502608,570,600
1436538492,409,399
1436761809,695,835
1436848209,551,531
1436934610,522,552
1437021010,554,554
1437107408,525,545
1437366608,827,707
1437453009,505,635
1437539409,543,573
1437625808,534,514
1437712209,535,535
1437971409,714,814
1438057810,574,484
1438144209,507,607
1438230610,510,540
1438317009,536,516
1438489809,804,704
1438576210,502,662
1438662610,587,567
1438749009,601,531
1438921810,747,707
1439181009,775,785
1439267410,538,548
1439353809,488,598
1439440210,513,453
1439526610,551,521
1439785810,744,764
1439872209,474,614
1439958610,568,458
1440045010,501,611
1440131410,539,499
1440390609,737,747
1440477009,543,433
1440563410,508,508
1440649810,504,614
1440736209,554,454
1440995409,750,760
1441081810,583,613
1441168210,649,489
1441254609,522,512
1441341010,553,523
1441686617,763,903
1441773011,546,456
1441859411,488,518
1441945816,521,521
1442032209,486,576
1442205010,594,584
1442291418,690,430
