DateTime,Entries,UniqueIPs
1437247813,80,80
1437255956,50,50
1437260099,82,83
1437346463,74,76
1437432852,49,50
1437436810,83,85
1437519261,49,50
1437523210,78,79
1437660826,78,79
1437689367,50,50
1437693510,84,85
1437775791,49,50
1437779905,76,77
1437866308,77,79
1437948568,50,50
1437952695,72,74
1438038556,80,82
1438120843,48,50
1438124957,85,87
1438211355,81,81
1438297224,50,50
1438301353,77,78
1438386868,80,81
1438473260,72,74
1438558582,61,63
1438640824,49,50
1438644979,75,76
1438730834,82,82
1438948578,50,50
1438989509,77,77
1439071787,50,50
1439075908,58,58
1439161756,50,50
1439165913,75,75
1439190557,75,75
1439194713,75,75
1439200201,75,75
1439238867,75,75
1439251222,76,76
1439337622,83,83
1439420057,50,50
1439424023,81,81
1439510424,82,82
1439592856,50,50
1439596818,77,77
1439647143,77,77
1439680152,50,50
1439684298,73,73
1439769607,74,74
1439852057,50,50
1439856021,78,78
1439913623,50,50
1440419777,50,50
1440506175,83,83
1440592570,80,80
1440666555,80,80
1440675925,50,50
1440680050,82,82
1440762328,50,50
1440766445,83,83
1440852850,81,81
1440938729,77,77
1441023526,84,84
1441106301,50,50
1441110016,79,79
1441196310,50,50
1441200428,82,82
1441282716,50,50
1441286835,83,83
1441370717,82,82
1441449368,50,50
1441457660,78,78
1441543518,74,74
1441628366,50,50
1441632450,76,76
1441718355,81,81
1441804154,77,77
1441890014,84,84
1441972453,50,50
1441976418,78,78
1442060846,50,50
1442064981,75,75
1442147249,50,50
1442151827,73,73
1442237792,78,78
1442320574,50,50
