DateTime,Entries,UniqueIPs
1433669705,3720,670264216
1433842505,3778,670299624
1433928904,3770,670213096
1434015307,3775,670173256
1434101709,3788,670093640
1434188109,3775,669985608
1434274510,3775,669985608
1434274510,3775,669985608
1434274510,3775,669985608
1434274510,3775,669985608
1434274510,3775,669985608
1434274510,3775,669985608
1434360912,3774,669983560
1434447305,3790,669767496
1434533706,3805,669729352
1434620114,3803,669694536
1434620114,3803,669694536
1434620114,3803,669694536
1434706510,3793,669613896
1434792909,3792,668857224
1434879309,3793,668858248
1435052109,3793,668520072
1435138508,3781,668292136
1435224913,3785,667811112
1435311311,3774,667715880
1435397715,3770,667608616
1435484112,3766,667600424
1435570512,3767,667601448
1435656905,3753,667567144
1435743308,3737,667516200
1435829712,3731,667362600
1435916106,3720,667325224
1436002516,3722,667295016
1436175306,3726,667298344
1436261707,3730,667251896
1436348108,3716,667211960
1436434514,3702,667153880
1436520906,3692,667115480
1436610905,3681,667040216
1436697303,3679,667038168
1436870104,3678,666981592
1436956506,3679,666946008
1437042904,3665,666886104
1437129303,3646,666842328
1437215703,3633,666789848
1437302110,3633,666787800
1437474903,3625,666188248
1437561304,3602,666142936
1437658504,3595,665840856
1437744903,3588,665811416
1438004103,3557,665759960
1438090506,3570,665728472
1438176911,3556,663570904
1438263307,3544,663528920
1438349704,3537,663503320
1438436104,3525,663434200
1438522505,3521,663430104
1438608903,3522,663431128
1438695303,3519,663381720
1438781705,3514,663346136
1438947306,3498,663265240
1439033707,3500,663311832
1439120106,3497,663307736
1439120106,3497,663307736
1439120106,3497,663307736
1439120106,3497,663307736
1439206504,3498,663308760
1439206504,3498,663308760
1439292905,3509,663386600
1439379304,3484,663336680
1439465707,3481,663303144
1439552107,3465,663263976
1439638508,3454,663228904
1439638508,3454,663228904
1439724902,3456,663225832
1439897703,3451,663213288
1439984105,3451,663177192
1440070509,3439,663139592
1440156904,3432,663104520
1440156904,3432,663104520
1440243307,3428,663078920
1440329703,3426,663075336
1440416105,3427,663076360
1440502506,3432,663060776
1440588903,3407,662923560
1440588903,3407,662923560
1440675305,3415,662874408
1440761704,3417,662851368
1440848106,3411,662831400
1440934504,3413,662825256
1441020905,3414,662825512
1441107303,3409,662739240
1441193704,3405,662714152
1441280103,3413,662946344
1441366503,3411,663180584
1441452907,3412,663079208
1441539319,3404,663066664
1441712103,3415,663289640
1441798503,3417,663275048
1441884902,3404,663247400
1441971310,3400,663082856
1441971310,3400,663082856
1441971310,3400,663082856
1442057704,3388,663034472
1442144104,3388,663032424
1442230508,3389,663034472
1442316903,3392,662976360
1442403303,3388,662934120
1442489701,3371,662877032
